home_team,away_team,location
Italy,Wales,Italy
Switzerland,Turkey,Turkey
Ukraine,Austria,Romania
North Macedonia,Netherlands,Netherlands
Russia,Denmark,Denmark
Finland,Belgium,Russia
Croatia,Scotland,Scotland
Czech Republic,England,England
Sweden,Poland,Russia
Slovakia,Spain,Spain
Portugal,France,Hungary
Germany,Hungary,Germany
