home_team,away_team,location
Turkey,Italy,Italy
Wales,Switzerland,Azerbaijan
Denmark,Finland,Denmark
Belgium,Russia,Russia
England,Croatia,England
Austria,North Macedonia,Romania
Netherlands,Ukraine,Netherlands
Scotland,Czech Republic,Scotland
Poland,Slovakia,Russia
Spain,Sweden,Sweden
Hungary,Portugal,Hungary
France,Germany,Germany
