home_team,away_team,location
Finland,Russia,Russia
Turkey,Wales,Azerbaijan
Italy,Switzerland,Italy
Ukraine,North Macedonia,Romania
Denmark,Belgium,Denmark
Netherlands,Austria,Netherlands
Sweden,Slovakia,Russia
Croatia,Czech Republic,Scotland
England,Scotland,England
Hungary,France,Hungary
Portugal,Germany,Germany
Spain,Poland,Spain
