home_team,away_team,location
Switzerland,Germany,Germany
Scotland,Hungary,Germany
Albania,Spain,Germany
Croatia,Italy,Germany
France,Poland,Germany
Netherlands,Austria,Germany
Denmark,Serbia,Germany
England,Slovenia,Germany
Slovakia,Romania,Germany
Ukraine,Belgium,Germany
Georgia,Portugal,Germany
Czech Republic,Turkey,Germany
