home_team,away_team,location
Germany,Scotland,Germany
Hungary,Switzerland,Germany
Spain,Croatia,Germany
Italy,Albania,Germany
Poland,Netherlands,Germany
Slovenia,Denmark,Germany
Serbia,England,Germany
Romania,Ukraine,Germany
Belgium,Slovakia,Germany
Austria,France,Germany
Turkey,Georgia,Germany
Portugal,Czech Republic,Germany
