home_team,away_team,location
Croatia,Albania,Germany
Germany,Hungary,Germany
Scotland,Switzerland,Germany
Slovenia,Serbia,Germany
Denmark,England,Germany
Spain,Italy,Germany
Slovakia,Ukraine,Germany
Poland,Austria,Germany
Netherlands,France,Germany
Georgia,Czech Republic,Germany
Turkey,Portugal,Germany
Belgium,Romania,Germany
